id,apelido,nome_completo,slug,clube,clube_id,posicao,posicao_id
105157,Villagra,Rodrigo Román Villagra,villagra,INT,285,Meia,4
147194,Bruninho,Bruno Braga Ramos,bruninho,CAP,293,Meia,4
71536,Luiz Gustavo,Luiz Gustavo Dias,luiz-gustavo,CAP,293,Meia,4
142265,Dell,Wendeson Wanderley Santos de Melo,dell,BAH,265,Atacante,5
146374,Gilberto,Gilberto Junior Leite dos Santos,gilberto,CAP,293,Lateral,2
95362,Cassierra,Zander Mateo Casierra Cabezas,cassierra,CAM,282,Atacante,5
110633,Gustavo,Gustavo Silva de Oliveira,gustavo,CFC,294,Meia,4
122554,Freitas,Francisco José Freire de Freitas,freitas,REM,364,Meia,4
113125,Picco,Leonel Marcelo Picco,picco,REM,364,Meia,4
105842,Edu,Lucas Eduardo Ribeiro de Souza,edu,VIT,287,Zagueiro,3
89918,Everton Galdino,Everton Galdino Moreira,everton-galdino,MIR,2305,Atacante,5
114308,Cufré,Braian Ezequiel Cufré,cufre,REM,364,Lateral,2
87552,Vitor Bueno,Vitor Frezarin Bueno,vitor-bueno,REM,364,Meia,4
107859,Fintelman,Alexandre Fintelman de Mello Ribeiro da Silva,fintelman,VIT,287,Goleiro,1
140496,Tiaguinho,Tiago Augusto Gonçalves,tiaguinho,GRE,284,Meia,4
68952,Marinho,Mário Sérgio Santos Costa,marinho,VIT,287,Atacante,5
145436,Belé,Erick Machado Belé,bele,PAL,275,Atacante,5
110598,Marino Hinestroza,Marino Hinestroza Angulo,marino-hinestroza,VAS,267,Atacante,5
146623,Luis Pacheco,Luis Felipe Pacheco da Costa,luis-pacheco,PAL,275,Meia,4
99789,Brenner,Brenner Souza da Silva,brenner,VAS,267,Atacante,5
86859,José Welison,José Welison da Silva - Zé,jose-welison,REM,364,Meia,4
141628,Pablo Lúcio,Pablo Lúcio,pablo-lucio,FLA,262,Meia,4
90370,Matheus Pereira,Matheus Pereira da Silva,matheus-pereira,COR,264,Meia,4
97906,Riccieli,Riccieli Eduardo da Silva Júnior,riccieli,VIT,287,Zagueiro,3
147088,Cissé,Mamady Cissé,cisse,CAM,282,Meia,4
107075,Yuri Sena,Yuri Sena dos Reis Batista,yuri-sena,VIT,287,Goleiro,1
145404,Arthur,Arthur Gabriel Santana Marcolino,arthur,PAL,275,Lateral,2
101729,Fabinho,Fabio Augusto Luciano da Silva,fabinho,CFC,294,Atacante,5
130906,Riquelme,Diogo Riquelme Rivas do Nascimento,riquelme,CAP,293,Meia,4
130608,Riquelme Fillipi,Riquelme Fillipi Marinho de Souza,riquelme-fillipi,PAL,275,Atacante,5
141551,Índio,Hendel dos Santos Nascimento,indio,CAM,282,Meia,4
132553,Jemmes,Jemmes Bruno Ribeiro da Silva,jemmes,FLU,266,Zagueiro,3
130847,Zé Breno,José Breno Silva Costa,ze-breno,VIT,287,Meia,4
104134,Fabri,Fabrício do Rosário dos Santos,fabri,VIT,287,Atacante,5
147202,João Bezerra,João Pedro Bezerra de Oliveira Lo,joao-bezerra,INT,285,Atacante,5
142638,João Victor,João Victor Alves de Morais Francisco,joao-victor,INT,285,Atacante,5
124270,Allex,Allex Rodrigues Pereira da Silva,allex,INT,285,Meia,4
146632,Alisson,Alisson Rodrigues de Melo,alisson,INT,285,Lateral,2
94930,Lucas Paquetá,Lucas Tolentino Coelho de Lima,lucas-paqueta,FLA,262,Meia,4
118844,Kaio César,Kaio César Andrade Lima,kaio-cesar,COR,264,Atacante,5
141406,Andrey Fernandes,Andrey Fernandes de Oliveira Nunes,andrey-fernandes,VAS,267,Atacante,5
141615,Pedro Ferreira,Pedro Henrique Ferreira da Silva,pedro-ferreira,SAO,276,Meia,4
147883,João Vitor,João Vitor Fonseca da Silva - JV Mutano,joao-vitor,VAS,267,Atacante,5
130698,Kadu,Carlos Eduardo da Silva Santos,kadu,BOT,263,Lateral,2
147788,Arthur Izaque,Arthur Izaque Bendayan de Castro Silva,arthur-izaque,BOT,263,Atacante,5
147782,Arthur Novaes,Arthur Alves Novaes,arthur-novaes,BOT,263,Meia,4
129666,JP,João Pedro Murilo de Paula Morais,jp,VAS,267,Meia,4
95550,Pedro Henrique,Pedro Henrique Alves de Almeida,pedro-henrique,VIT,287,Atacante,5
90608,Chico da Costa,Francisco da Costa Aragão,chico-da-costa,CRU,283,Atacante,5
108131,Garcez,Maurício Garcez de Jesus,garcez,CHA,315,Atacante,5
101715,Alerrandro,Alerrandro Barra Mansa Realino de Souza,alerrandro,INT,285,Atacante,5
148103,Rafael Soares,Rafael Soares de Sousa,rafael-soares,REM,364,Meia,4
112939,Catarozzi,Franco Catarozzi Parafita,catarozzi,REM,364,Meia,4
123738,Herrera,José María Herrera Ares,herrera,RBB,280,Atacante,5
141991,Tico,Paulo Sérgio da Costa Evangelista Junior,tico,REM,364,Atacante,5
141126,Pedro Cobra,Pedro Cobra Rodrigues,pedro-cobra,CAM,282,Goleiro,1
148109,Filipe Lima,Filipe Lima de Oliveira,filipe-lima,REM,364,Atacante,5
82407,Chico Kim,Francisco Hyun-Sol Kim,chico-kim,MIR,2305,Meia,4
130438,Diego,Diego Esser Pereira,diego,INT,285,Goleiro,1
143463,Wesley Natã,Wesley Natã de Freitas Prado,wesley-nata,FLU,266,Atacante,5
122413,Pablo Baianinho,Pablo Santos de Alcântara,pablo-baianinho,VIT,287,Meia,4
147546,Roger,Roger Dias Fernandes,roger,GRE,284,Meia,4
148152,Ararat,Alejandro Ararat Díaz,ararat,CFC,294,Meia,4
127969,Matheus Reis,Matheus dos Reis Francisco,matheus-reis,FLU,266,Atacante,5
116065,Cuiabano,Luís Eduardo Soares da Silva,cuiabano,VAS,267,Lateral,2
146410,Marquinhos,Marcos Felipe Vinagre Souza,marquinhos,BOT,263,Meia,4
147429,Brayan,Brayan Felipi Pereira Gravelo,brayan,CFC,294,Atacante,5
148215,Djhordney,Djhordney Ferreira,djhordney,SAO,276,Meia,4
97911,Lucas Silva,Lucas Rodrigues da Silva,lucas-silva,VIT,287,Atacante,5
99815,Arias,Jhon Adolfo Arias Andrade,arias,PAL,275,Meia,4
110144,Spinelli,Claudio Paul Spinelli,spinelli,VAS,267,Atacante,5
148124,Vinicius,Vinicius Eduardo de Almeida Gomes da Silva,vinicius,CHA,315,Zagueiro,3
148206,Nadson,Nadson Juan Maia da Silva de Souza,nadson,SAN,277,Atacante,5
108162,Nardoni,Juan Ignacio Martín Nardoni,nardoni,GRE,284,Meia,4
146430,Justino,Gabriel Pereira Justino,justino,BOT,263,Zagueiro,3
143173,Leonel Pérez,Leonel Ulises Perez,leonel-perez,GRE,284,Meia,4
131964,Jhoan Hernández,Jhoan Hernández Mejía,jhoan-hernandez,BOT,263,Lateral,2
130393,Luiz Gustavo,Luiz Gustavo Marinho Ribeiro dos Santos,luiz-gustavo,BAH,265,Zagueiro,3
104666,Moisés,Moisés Vieira da Veiga,moises,SAN,277,Atacante,5
145563,João Ananias,João Paulo Ananias Bento,joao-ananias,SAN,277,Zagueiro,3
93371,Rodrigo Rodrigues,Rodrigo Rodrigues Silva,rodrigo-rodrigues,CFC,294,Atacante,5
124386,Kainã,Kainã Correa Dal Magro,kaina,CHA,315,Goleiro,1
141595,Gabriel Mec,Gabriel Ferreira de Carvalho,gabriel-mec,GRE,284,Atacante,5
97899,Matheus Bahia,Matheus Bahia Santos,matheus-bahia,INT,285,Lateral,2
104036,Labyad,Zakaria Labyad,labyad,COR,264,Meia,4
109987,Medina,Cristian Nicolás Medina,medina,BOT,263,Meia,4
131763,Yuri Leles,Yuri Silva Leles de Souza,yuri-leles,RBB,280,Meia,4
142261,Jeferson,Jeferson Borges dos Santos,jeferson,GRE,284,Atacante,5
105048,Jajá,Jandir Breno Souza Silva,jaja,REM,364,Atacante,5
143465,Keven Samuel,Keven Samuel Moreira dos Santos,keven-samuel,FLU,266,Atacante,5
133671,Gustavo Reis,Gustavo Reis de Alcântara,gustavo-reis,RBB,280,Goleiro,1
92747,Eduardo Domínguez,Eduardo Rodrigo Domínguez,eduardo-dominguez,CAM,282,Técnico,6
101807,Oliva,Christian Gabriel Oliva Giménez,oliva,SAN,277,Meia,4
109573,Martinelli,Matheus Martinelli Lima,martinelli,FLU,266,Meia,4
147875,Daniel Silva,Daniel Carvalho Marinho da Silva,daniel-silva,FLA,262,Zagueiro,3
139200,Pedro Kauã,Pedro Kauã Rodrigues Machado,pedro-kaua,INT,285,Zagueiro,3
93834,Keiller,Keiller da Silva Nunes,keiller,CFC,294,Goleiro,1
147545,Jefinho,Jéferson Forneck,jefinho,GRE,284,Meia,4
100804,Tchamba,Duplexe Tchamba Bangou,tchamba,REM,364,Zagueiro,3
116137,João Moreira,João Moreira Sanmartin Souza,joao-moreira,SAO,276,Lateral,2
124219,Millán,Julián Camilo Millán Díaz,millan,FLU,266,Zagueiro,3
93368,Lucas Veríssimo,Lucas Veríssimo da Silva,lucas-verissimo,SAN,277,Zagueiro,3
124424,Rodrigo Castillo,Rodrigo Castillo,rodrigo-castillo,FLU,266,Atacante,5
141400,Huguinho,Victor Hugo Custódio de Melo Moura,huguinho,BOT,263,Meia,4
88963,Leonardo Jardim,José Leonardo Nunes Alves Sousa Jardim,leonardo-jardim,FLA,262,Técnico,6
126189,Tomás Pérez,Tomás Pérez,tomas-perez,CAM,282,Meia,4
41929,Renato Gaúcho,Renato Portaluppi,renato-gaucho,VAS,267,Técnico,6
71898,Gabriel Pires,Gabriel Appelt Pires,gabriel-pires,MIR,2305,Meia,4
37457,Léo Condé,Leonardo Rodrigues Condé,leo-conde,REM,364,Técnico,6
122138,João Vitor,João Vitor de Souza Martins,joao-vitor,CHA,315,Meia,4
106593,Villalba,Lucas Hernán Villalba,villalba,CRU,283,Zagueiro,3
101254,Alef Manga,Alef Mangueira Severino Pereira,alef-manga,REM,364,Atacante,5
68685,Alan Patrick,Alan Patrick Lourenço,alan-patrick,INT,285,Meia,4
81720,Lingard,Jesse Ellis Lingard,lingard,COR,264,Atacante,5
142275,Luiz Felipe,Luiz Felipe Mariano dos Santos,luiz-felipe,FLA,262,Meia,4
147268,Anderson Pato,Anderson Bispo dos Santos,anderson-pato,VIT,287,Atacante,5
